,Date,Close
2224,2019-06-02,8554.26
2225,2019-06-03,8743.71
2226,2019-06-04,8173.63
2227,2019-06-05,7683.64
2228,2019-06-06,7812.45
2229,2019-06-07,7821.12
2230,2019-06-08,8036.11
2231,2019-06-09,7942.54
2232,2019-06-10,7668.03
2233,2019-06-11,8002.73
2234,2019-06-12,7897.98
2235,2019-06-13,8145.06
2236,2019-06-14,8227.63
2237,2019-06-15,8671.51
2238,2019-06-16,8818.61
2239,2019-06-17,8978.77
2240,2019-06-18,9312.87
2241,2019-06-19,9094.02
2242,2019-06-20,9285.93
2243,2019-06-21,9548.31
2244,2019-06-22,10118.36
2245,2019-06-23,10704.92
2246,2019-06-24,10846.13
2247,2019-06-25,11045.55
2248,2019-06-26,11808.42
2249,2019-06-27,12996.12
2250,2019-06-28,11178.68
2251,2019-06-29,12352.2
2252,2019-06-30,11972.56
2253,2019-07-01,10888.1
2254,2019-07-02,10639.05
2255,2019-07-03,10822.76
2256,2019-07-04,11975.64
2257,2019-07-05,11229.61
2258,2019-07-06,10987.25
2259,2019-07-07,11279.48
2260,2019-07-08,11436.43
2261,2019-07-09,12260.28
2262,2019-07-10,12544.17
2263,2019-07-11,12166.4
2264,2019-07-12,11385.06
2265,2019-07-13,11804.56
2266,2019-07-14,11418.51
2267,2019-07-15,10285.46
2268,2019-07-16,10911.35
2269,2019-07-17,9538.83
2270,2019-07-18,9657.3
2271,2019-07-19,10636.16
2272,2019-07-20,10536.57
2273,2019-07-21,10774.28
2274,2019-07-22,10607.46
2275,2019-07-23,10343.32
2276,2019-07-24,9936.38
2277,2019-07-25,9799.31
2278,2019-07-26,9878.23
2279,2019-07-27,9846.0
2280,2019-07-28,9447.68
2281,2019-07-29,9534.76
2282,2019-07-30,9510.59
2283,2019-07-31,9568.44
2284,2019-08-01,10063.0
2285,2019-08-02,10361.31
2286,2019-08-03,10529.17
2287,2019-08-04,10791.2
2288,2019-08-05,10951.59
2289,2019-08-06,11818.53
2290,2019-08-07,11510.16
2291,2019-08-08,11970.66
2292,2019-08-09,12024.33
2293,2019-08-10,11852.56
2294,2019-08-11,11327.84
2295,2019-08-12,11550.0
2296,2019-08-13,11381.24
2297,2019-08-14,10903.65
2298,2019-08-15,10016.22
2299,2019-08-16,10295.88
2300,2019-08-17,10324.99
2301,2019-08-18,10224.22
2302,2019-08-19,10309.87
2303,2019-08-20,10895.97
2304,2019-08-21,10743.79
2305,2019-08-22,10124.06
2306,2019-08-23,10127.79
2307,2019-08-24,10385.51
2308,2019-08-25,10145.01
2309,2019-08-26,10090.06
2310,2019-08-27,10334.91
2311,2019-08-28,10167.89
2312,2019-08-29,9753.49
2313,2019-08-30,9485.14
2314,2019-08-31,9588.99
2315,2019-09-01,9607.29
2316,2019-09-02,9729.27
2317,2019-09-03,10323.02
2318,2019-09-04,10620.17
2319,2019-09-05,10573.52
2320,2019-09-06,10570.25
2321,2019-09-07,10350.75
2322,2019-09-08,10461.55
2323,2019-09-09,10404.33
2324,2019-09-10,10321.93
2325,2019-09-11,10121.1
2326,2019-09-12,10150.71
2327,2019-09-13,10401.32
2328,2019-09-14,10355.63
2329,2019-09-15,10349.55
2330,2019-09-16,10305.68
2331,2019-09-17,10268.42
2332,2019-09-18,10203.07
2333,2019-09-19,10158.85
2334,2019-09-20,10253.23
2335,2019-09-21,10178.44
2336,2019-09-22,9997.2
2337,2019-09-23,10041.3
2338,2019-09-24,9699.5
2339,2019-09-25,8702.71
2340,2019-09-26,8446.24
2341,2019-09-27,8098.81
2342,2019-09-28,8183.48
2343,2019-09-29,8225.11
2344,2019-09-30,8064.38
2345,2019-10-01,8271.29
2346,2019-10-02,8366.5
2347,2019-10-03,8350.13
2348,2019-10-04,8176.35
2349,2019-10-05,8156.52
2350,2019-10-06,8140.24
2351,2019-10-07,7890.23
2352,2019-10-08,8182.25
2353,2019-10-09,8180.69
2354,2019-10-10,8573.06
2355,2019-10-11,8561.52
2356,2019-10-12,8277.85
2357,2019-10-13,8308.47
2358,2019-10-14,8289.5
2359,2019-10-15,8347.35
2360,2019-10-16,8175.86
2361,2019-10-17,8010.3
2362,2019-10-18,8079.93
2363,2019-10-19,7957.31
2364,2019-10-20,7949.8
2365,2019-10-21,8208.36
2366,2019-10-22,8220.92
2367,2019-10-23,8045.29
2368,2019-10-24,7468.53
2369,2019-10-25,7433.92
2370,2019-10-26,8652.03
2371,2019-10-27,9217.24
2372,2019-10-28,9502.02
2373,2019-10-29,9239.9
2374,2019-10-30,9407.16
2375,2019-10-31,9171.87
2376,2019-11-01,9151.82
2377,2019-11-02,9233.41
2378,2019-11-03,9302.83
2379,2019-11-04,9204.29
2380,2019-11-05,9378.95
2381,2019-11-06,9300.37
2382,2019-11-07,9340.05
2383,2019-11-08,9221.07
2384,2019-11-09,8795.9
2385,2019-11-10,8809.78
2386,2019-11-11,9043.67
2387,2019-11-12,8729.92
2388,2019-11-13,8806.75
2389,2019-11-14,8770.78
2390,2019-11-15,8652.03
2391,2019-11-16,8480.44
2392,2019-11-17,8496.38
2393,2019-11-18,8508.5
2394,2019-11-19,8202.83
2395,2019-11-20,8138.83
2396,2019-11-21,8095.87
2397,2019-11-22,7632.49
2398,2019-11-23,7293.01
2399,2019-11-24,7309.69
2400,2019-11-25,6935.74
2401,2019-11-26,7118.26
2402,2019-11-27,7157.68
2403,2019-11-28,7483.75
2404,2019-11-29,7438.62
2405,2019-11-30,7720.87
2406,2019-12-01,7556.4
2407,2019-12-02,7405.81
2408,2019-12-03,7308.98
2409,2019-12-04,7286.08
2410,2019-12-05,7209.97
2411,2019-12-06,7373.78
2412,2019-12-07,7530.92
2413,2019-12-08,7493.55
2414,2019-12-09,7508.32
2415,2019-12-10,7347.04
2416,2019-12-11,7233.95
2417,2019-12-12,7197.43
2418,2019-12-13,7200.71
2419,2019-12-14,7247.35
2420,2019-12-15,7081.74
2421,2019-12-16,7108.56
2422,2019-12-17,6901.04
2423,2019-12-18,6627.16
2424,2019-12-19,7274.77
2425,2019-12-20,7152.56
2426,2019-12-21,7185.44
2427,2019-12-22,7141.55
2428,2019-12-23,7488.2
2429,2019-12-24,7335.21
2430,2019-12-25,7266.61
2431,2019-12-26,7204.18
2432,2019-12-27,7208.49
2433,2019-12-28,7247.62
